absolute direction | a definite direction that never changes
absolute distance | definite measure of distance
absolute location | precise spot where something is, according to a system
absolute poverty | a financial condition where an individual or family does not earn enough money to meet their fundamental human needs
abundant resources | natural resources that are readily available and can be used without depletion in the short term
accents | how words sound when pronounced
accessibility | how quickly and easily people in one location can interact with people in another location
accommodation | the process of adapting to a new culture while maintaining some aspects of one’s original culture
acculturation | people within one culture adopting traits of another while retaining distinctiveness
activity space | space allotted for a certain industry or activity
adages | sayings that attempt to express a truth about life
adaptive ecotones | areas where ecosystems transition and interact, and can flexibly respond to external forces
adaptive governance | a flexible decision-making process for managing resources in response to environmental changes
adaptive radiation | the diversification of a species or cultural group into new ecological or spatial niches
adaptive reuse | the process of repurposing existing buildings for new uses while retaining their historical or architectural significance
adaptive strategies | the unique way in which each culture uses its particular physical environment
adaptive urbanism | a planning approach that emphasizes flexibility and responsiveness to changing urban needs and conditions
adaptive zoning | a flexible urban planning strategy that allows land use to change based on evolving community needs
adherents | people who are loyal to a belief, religion, or organization
administered boundary | a political border that is actively managed and enforced by a governing authority
adobe housing | a building method using sun-dried mud bricks, common in arid regions
aerial photography | professional imaging captured from planes within the atmosphere
aerospatial networks | the integration of air and space technologies in global communication and transportation systems
aerotropolis | a city or urban area centered around a major airport
affluenza | a social condition resulting from the desire to be more wealthy or successful, often leading to dissatisfaction and other negative effects
affordable housing | housing that is deemed affordable to those with a median household income as rated by the national government or a local government
Afro-Asiatic language family | a language family primarily in North Africa and the Middle East, including Arabic and Hebrew, characterized by complex morphology
Afroasiatic-Omotic language family | a branch of the Afro-Asiatic family found in the Horn of Africa
Age of Exploration | a period from the 15th to 17th centuries when European powers explored and colonized vast territories (AKA Age of Discovery)
agency | ability to produce a result
ager | an ancient Roman term for arable land used for agriculture
agglomeration | a clustering of businesses or industries in a particular area to benefit from shared resources
agglomeration economies | the spatial grouping of several businesses to share costs
agglutination | a linguistic process in which words are formed by stringing together morphemes, each representing a distinct meaning (AKA compound word formation)
aging population | the increasing median age in a population due to declining birth rates and longer life expectancy
agrarian | based on agriculture and farming
agrarian reform | policy changes intended to redistribute land and improve the conditions of agricultural production, often aimed at addressing social inequalities
agrarian society | any community whose economy is based on producing and maintaining crops and farmland (AKA agricultural society)
agrarian transition | the shift from subsistence farming to commercial agriculture
agribusiness | the integrated business sector encompassing the production, processing, distribution, and marketing of agricultural products
agricultural biodiversity | the variety of crops and livestock species cultivated and raised in agricultural practices, contributing to food security
agricultural diversification | the practice of varying the types of crops or livestock produced to reduce risks and improve resilience in agricultural systems
agricultural hearth | in area in which farming of plants and livestock first began
agricultural landscapes | landscapes resulting from the interactions between farming activities and a location's natural environment
agricultural population density | the population density calculated by dividing the number of farmers in a region by arable land to show efficiency of the region's farmers
